country_name,country_code,continent,LifeExpNo_00_1975,LifeExp_00_1975,LE_00_1975,LifeExpNo_00_2010,LifeExp_00_2010,LE_00_2010,LifeExpNo_45_2050,LifeExp_45_2050,LE_45_2050,LifeExpNo_85_2050,LifeExp_85_2050,LE_85_2050
"Korea, Republic of",KOR,Asia,64.62627406035705,64.60644030139787,0.998016624104082,80.76297107493151,80.6723843382997,0.990941326336818,87.37699685444838,87.10465050241365,0.9727653647965269,87.37699685444838,87.0686454237049,0.9691648569256515
Kuwait,KWT,Asia,67.8922223621871,67.88882901838697,0.9996606656199873,77.9816992925835,77.95380094645816,0.997210165387466,85.07219674885256,84.9929599722181,0.9920763223365541,85.07219674885256,84.9763316304075,0.9904134881554938
Lao Peoples Democratic Republic,LAO,Asia,45.891554017959585,45.883969597157126,0.9992415579197541,63.973123944156725,63.94407033717812,0.9970946393021393,74.74123820399818,74.67315844555651,0.9931920241558331,74.74123820399818,74.66560322089538,0.9924365016897199
Lebanon,LBN,Asia,58.12790862045054,58.12566008110414,0.9997751460653597,78.15593547787029,78.14385145216684,0.9987915974296555,83.49495785701927,83.47097990510059,0.9976022048081319,83.49495785701927,83.46545118298607,0.9970493325966799
Liberia,LBR,Africa,42.774096044822,42.76310510538657,0.998900906056457,59.43306376604976,59.34800404394409,0.9914940277894324,67.13914672733509,66.91556115867249,0.97764144313374,67.13914672733509,66.90683660099322,0.9767689873658127
Libyan Arab Jamahiriya,LBY,Africa,60.810458185227084,60.807153099957574,0.9996694914730491,72.37407008335197,72.35762246427198,0.9983552380920017,77.96273528827085,77.9242304023637,0.9961495114092855,77.96273528827085,77.91760167611052,0.9954866387839673
Sri Lanka,LKA,Asia,66.23749660545636,66.22831318024579,0.9990816574789434,73.21498366449636,73.18065629798944,0.9965672633493086,81.66124099666719,81.55615911234338,0.9894918115676191,81.66124099666719,81.53074771334899,0.9869506716681797
Lesotho,LSO,Africa,52.98679600591282,52.92329862745926,0.9936502621546438,45.59547267693642,45.49386146980251,0.9898388792866093,59.493694979722385,59.0875295428346,0.9593834563112218,59.493694979722385,59.0875295428346,0.9593834563112218
Lithuania,LTU,Europe,70.89358538045671,70.58083019223841,0.9687244811781696,73.4235505518312,72.45486361123169,0.9031313059400489,81.10358993906166,79.13318197380275,0.8029592034741085,81.10358993906166,78.72094259708012,0.7617352658018461
Latvia,LVA,Europe,69.20987646761564,68.9983376470288,0.9788461179413162,72.95385287261774,72.25278906015184,0.9298936187534096,79.93125617953736,78.47858756849261,0.8547331388955257,79.93125617953736,78.184456886108,0.8253200706570638
